"","school","avg_date"
"1","plato",-350
"2","aristotle",-320
"3","stoicism",164.266272189349
"4","rationalism",1680.69462721687
"5","empiricism",1715.52631578947
"6","german_idealism",1802.50690620847
"7","capitalism",1812.95998680884
"8","communism",1876.81311950106
"9","nietzsche",1887.28196043696
"10","feminism",1932.69331902334
"11","phenomenology",1938.08830014349
"12","analytic",1958.65535408209
"13","continental",1966.29829183812
